CustomerID,Age,Gender,Tenure,MonthlyCharges,TotalCharges,NumOfProducts,HasCreditCard,IsActiveMember,ContractType,PaymentMethod,SupportCalls,Churn
1,56,Male,1,89.58,2856.72,1,1,1,Month-to-Month,Bank Transfer,7,1
2,69,Female,70,115.32,2704.39,1,1,0,Month-to-Month,Credit Card,8,1
3,46,Female,47,116.31,6019.24,4,1,1,Two Year,Credit Card,4,0
4,32,Female,5,75.57,690.78,4,1,0,Month-to-Month,Mailed Check,9,1
5,60,Male,50,80.66,6897.56,4,0,0,Two Year,Electronic Check,9,1
6,25,Female,24,38.57,6548.23,3,1,0,One Year,Credit Card,2,0
7,38,Female,47,89.53,6151.33,2,0,0,Two Year,Credit Card,8,1
8,56,Female,18,27.07,2544.04,3,1,1,Two Year,Credit Card,0,0
9,36,Male,28,48.47,6600.77,3,1,0,Month-to-Month,Mailed Check,0,0
10,40,Male,5,86.84,1544.14,1,0,1,Month-to-Month,Electronic Check,2,1
11,28,Female,30,51.03,1082.83,2,0,0,One Year,Electronic Check,1,0
12,28,Female,1,24.98,455.16,2,0,0,Two Year,Credit Card,7,0
13,41,Female,46,103.19,7520.55,1,0,0,One Year,Electronic Check,4,0
14,53,Male,69,51.03,2533.29,1,1,1,Month-to-Month,Electronic Check,9,1
15,57,Male,31,26.31,7349.18,1,0,0,One Year,Credit Card,0,0
16,41,Male,70,27.48,2253.65,4,1,0,Two Year,Mailed Check,2,0
17,20,Female,56,45.18,7269.77,2,1,0,Two Year,Credit Card,2,0
18,39,Male,28,37.8,7241.04,1,1,1,Two Year,Electronic Check,1,0
19,19,Female,16,97.43,7397.04,1,1,0,Month-to-Month,Electronic Check,8,1
20,41,Female,54,52.17,4019.61,1,0,0,Month-to-Month,Electronic Check,0,0
21,61,Male,53,100.47,6940.98,3,0,1,Two Year,Mailed Check,9,0
22,47,Female,12,37.38,7611.05,2,1,0,Month-to-Month,Electronic Check,4,0
23,55,Male,20,69.29,2664.47,2,1,0,One Year,Electronic Check,8,0
24,19,Female,34,88.8,3409.11,4,0,1,One Year,Electronic Check,2,0
25,38,Female,53,85.2,5782.0,3,0,0,Two Year,Mailed Check,9,1
26,50,Male,64,80.11,2472.84,2,1,1,Month-to-Month,Credit Card,2,0
27,29,Female,23,112.48,6055.09,4,1,1,Two Year,Electronic Check,6,1
28,39,Female,27,42.85,683.75,4,1,1,One Year,Electronic Check,0,0
29,61,Female,17,69.37,4235.64,1,0,0,One Year,Mailed Check,8,0
30,42,Female,48,108.4,1066.28,4,0,1,Month-to-Month,Bank Transfer,6,1
31,66,Female,21,27.79,2417.26,4,1,1,One Year,Mailed Check,7,0
32,44,Female,50,25.59,2143.14,3,1,0,Month-to-Month,Bank Transfer,1,0
33,59,Female,40,43.33,6727.56,1,1,0,Month-to-Month,Bank Transfer,2,0
34,45,Female,3,83.3,1628.79,1,1,0,One Year,Bank Transfer,8,1
35,33,Male,17,45.99,6486.74,1,1,1,One Year,Bank Transfer,3,0
36,32,Male,61,39.02,6372.29,4,1,1,Two Year,Bank Transfer,4,0
37,64,Female,50,65.88,4041.18,1,0,1,Month-to-Month,Mailed Check,8,0
38,68,Female,6,81.36,1947.36,2,0,0,Two Year,Electronic Check,9,1
39,61,Male,28,44.86,1892.48,3,0,1,Month-to-Month,Mailed Check,7,0
40,69,Female,55,50.07,3772.9,3,0,1,One Year,Credit Card,4,0
41,20,Male,58,81.36,169.59,4,0,0,Month-to-Month,Mailed Check,1,1
42,54,Male,45,114.57,4297.67,1,1,1,Two Year,Electronic Check,2,1
43,68,Male,19,87.47,7626.96,3,0,0,Month-to-Month,Electronic Check,2,0
44,24,Female,29,98.29,1322.18,4,1,0,One Year,Credit Card,6,1
45,38,Female,23,56.68,4629.43,4,0,1,Two Year,Credit Card,5,0
46,26,Female,32,47.23,7698.05,3,1,1,Month-to-Month,Mailed Check,6,0
47,56,Male,10,65.43,6898.12,1,1,1,Month-to-Month,Mailed Check,7,0
48,35,Male,49,100.71,6818.0,1,1,1,Month-to-Month,Credit Card,4,0
49,21,Male,65,65.63,6592.61,2,1,0,Month-to-Month,Credit Card,5,0
50,42,Female,29,104.67,2541.29,2,0,0,Month-to-Month,Mailed Check,0,0
51,31,Male,59,118.88,7135.87,1,0,1,One Year,Credit Card,3,0
52,67,Male,45,27.2,7536.59,2,0,0,One Year,Credit Card,5,1
53,26,Female,67,24.54,4016.76,2,1,0,Two Year,Mailed Check,3,0
54,43,Male,51,34.96,2901.11,3,1,1,Month-to-Month,Electronic Check,0,0
55,19,Male,11,58.44,3372.41,1,0,0,One Year,Credit Card,2,0
